Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2020,Arlington,VA,Passenger,0,2,2,144,146,1.37
February 29 2020,Dekalb,IN,Passenger,1,0,1,1,2,50.00
January 31 2020,Asotin,WA,Passenger,18,12,30,13055,13085,0.23
January 31 2020,Garfield,WA,Truck,0,0,0,996,996,0.00
February 29 2020,Flathead,MT,Passenger,1,0,1,52,53,1.89
February 29 2020,District Of Columbia,DC,Passenger,1,3,4,208,212,1.89
January 31 2020,Goochland,VA,Passenger,2,1,3,199,202,1.49
December 31 2019,Yakima,WA,Passenger,130,123,253,170821,171074,0.15
February 29 2020,Franklin,WA,Passenger,66,81,147,62408,62555,0.23
March 31 2020,Harnett,NC,Passenger,0,1,1,192,193,0.52
January 31 2020,Jones,GA,Passenger,1,0,1,1,2,50.00
February 29 2020,El Paso,TX,Passenger,2,0,2,445,447,0.45
February 29 2020,Denver,CO,Passenger,1,0,1,114,115,0.87
February 29 2020,Fairbanks North Star,AK,Passenger,0,1,1,98,99,1.01
January 31 2020,Kern,CA,Passenger,1,1,2,229,231,0.87
January 31 2020,Harnett,NC,Passenger,0,1,1,192,193,0.52
January 31 2020,Arapahoe,CO,Passenger,1,0,1,130,131,0.76
January 31 2020,Benton,WA,Truck,0,0,0,43750,43750,0.00
February 29 2020,Grant,WA,Truck,0,0,0,27994,27994,0.00
February 29 2020,Grays Harbor,WA,Truck,0,0,0,21300,21300,0.00
February 29 2020,Howard,MD,Passenger,0,1,1,85,86,1.16
March 31 2020,Kern,CA,Passenger,1,1,2,224,226,0.88
January 31 2020,Jefferson,WA,Passenger,237,152,389,25654,26043,1.49
February 29 2020,Island,WA,Passenger,421,283,704,64624,65328,1.08
March 31 2020,King,WA,Passenger,24466,8073,32539,1417759,1450298,2.24
January 31 2020,Kent,DE,Passenger,0,1,1,69,70,1.43
February 29 2020,Fresno,CA,Passenger,1,0,1,177,178,0.56
March 31 2020,Kitsap,WA,Passenger,1386,708,2094,185022,187116,1.12
January 31 2020,Contra Costa,CA,Passenger,3,0,3,194,197,1.52
January 31 2020,Manassas City,VA,Passenger,0,1,1,4,5,20.00
January 31 2020,Kitsap,WA,Passenger,1340,689,2029,185555,187584,1.08
March 31 2020,Klickitat,WA,Truck,0,0,0,8530,8530,0.00
January 31 2020,Kitsap,WA,Truck,1,0,1,55729,55730,0.00
January 31 2020,Kittitas,WA,Truck,0,0,0,15079,15079,0.00
February 29 2020,Glacier,MT,Passenger,0,1,1,5,6,16.67
January 31 2020,Klamath,OR,Passenger,1,0,1,26,27,3.70
February 29 2020,King,WA,Truck,7,1,8,187138,187146,0.00
January 31 2020,Kootenai,ID,Passenger,1,1,2,197,199,1.01
March 31 2020,Larimer,CO,Passenger,0,1,1,44,45,2.22
January 31 2020,Bucks,PA,Passenger,1,0,1,18,19,5.26
January 31 2020,New Castle,DE,Passenger,1,0,1,22,23,4.35
February 29 2020,Kitsap,WA,Truck,1,0,1,55638,55639,0.00
February 29 2020,Jones,GA,Passenger,1,0,1,1,2,50.00
January 31 2020,Okanogan,WA,Passenger,3,8,11,6094,6105,0.18
January 31 2020,Calvert,MD,Passenger,0,2,2,92,94,2.13
March 31 2020,Lewis,WA,Passenger,114,118,232,60458,60690,0.38
February 29 2020,Kittitas,WA,Passenger,99,51,150,30700,30850,0.49
January 31 2020,Charles,MD,Passenger,0,1,1,75,76,1.32
February 29 2020,Klamath,OR,Passenger,1,0,1,27,28,3.57
January 31 2020,Franklin,WA,Passenger,65,81,146,62393,62539,0.23
February 29 2020,Lewis,WA,Truck,0,0,0,26874,26874,0.00
January 31 2020,Frederick,MD,Passenger,2,1,3,86,89,3.37
January 31 2020,Maui,HI,Passenger,1,0,1,37,38,2.63
February 29 2020,Lincoln,WA,Truck,0,0,0,4792,4792,0.00
January 31 2020,Chesapeake City,VA,Passenger,0,2,2,423,425,0.47
February 29 2020,Jefferson,NY,Passenger,0,1,1,227,228,0.44
January 31 2020,Mecklenburg,NC,Passenger,1,0,1,73,74,1.35
January 31 2020,Putnam,TN,Passenger,0,1,1,2,3,33.33
January 31 2020,Clallam,WA,Truck,1,0,1,22387,22388,0.00
January 31 2020,Clark,WA,Passenger,2056,1105,3161,325586,328747,0.96
February 29 2020,Kern,CA,Passenger,1,1,2,227,229,0.87
February 29 2020,Maui,HI,Passenger,1,0,1,35,36,2.78
January 31 2020,San Diego,CA,Passenger,9,9,18,2797,2815,0.64
January 31 2020,Harris,TX,Passenger,1,0,1,222,223,0.45
February 29 2020,Mason,OR,Passenger,2,0,2,18,20,10.00
February 29 2020,Larimer,CO,Passenger,0,1,1,43,44,2.27
